title,artist_id,year,spotify

Shake It Off,14,2014,https://open.spotify.com/intl-de/track/0cqRj7pUJDkTCEsJkx8snD?si=fbfc99e1140247bd
Yellow,15,2000,https://open.spotify.com/intl-de/track/3AJwUDP919kvQ9QcozQPxg?si=c9dd7bdeac464b9b
