id,title,artist,year,spotify
68,Gimme Hope Jo'Anna,Eddy Grant,1988,09lZ2Mx2NSpzy6KBpX2kDq
69,Wind Of Change,Scorpions,1990,5WSsTyBvMEFG3ac6JKb9gY
70,Le Freak,CHIC,1978,7Kszjzps0xbQXyo1pO4KfE
71,Haus Am See,Peter Fox,2008,7A4KdLy1DXOOC5fhIdDuHz
72,Poker Face,Lady Gaga,2008,5R8dQOPq8haW94K7mgERlO
73,It's A Heartache,Bonnie Tyler,1977,2pag2vElkdroT8hIO4Gozi
74,Jonny B. Goode,Chuck Berry,1958,2QfiRTz5Yc8DdShCxG1tB2
75,White Wedding,Billy Idol,1982,0bvpSvOYt4KTfZIZJmyFOs
76,Rigoletto: "La Donna E' Mobile",Enrico Caruso,1904,7idTMG6EKZy0531lIx8RJ5
77,Without You (feat. Sandro Cavazza) | Without You,Avicii,2017,6Pgkp4qUoTmJIPn7ReaGxL
78,Volare (Nel Blu di Pinto di Blu) | Volare | Nel Blu di Pinto di Blu,Gipsy Kings,1989,4OjJAGDDZTLlTNeOMBl7UM
79,Ca Plane Pour Moi,Plastic Bertrand,1977,71yCMlsD6qbD7NmNUEoVNR
80,Born To Be Alive,Patrick Hernandez,1978,3XIEWK1V9n25PS9Vb6axj5
81,Whola Lotta Love,Led Zeppelin,1969,0hCB0YR03f6AmQaHbwWDe8
82,Ein Kompliment,Sportfreunde Stiller,2002,5QRkWkMabF6HJmQQm2HBVX
83,In The Mood,Glenn Miller,1939,0wAyDBh0ujohCsYeXBtDLF
84,Wahnsinn,Wolfgang Petry,1983,2Nv773K16hckJrb3Ir7wOu
85,Counting Stars,OneRepublic,2013,2tpWsVSb9UEmDRxAl1zhX1
86,Dragostea Din Tei,O-Zone,2003,52Zr0sinhWTCRrQhRRY4EP
87,Everybody Hurts,R.E.M.,1993,6PypGyiu0Y2lCDBN1XZEnP
88,Just Give Me A Reason (feat. Nate Ruess) | Just Give Me A Reason,P!nk | Pink,2012,1mKXFLRA179hdOWQBwUk9e
89,Joyride,Roxette,1991,1ILbD4eWKWvg8ub5qJyBTP
90,(We're Gonna) Rock Around The Clock | Rock Around The Clock,Bill Haley & His Comets | Bill Haley and His Comets | Bill Haley,1954,1uRKT2LRANv4baowBWHfDS
91,Bette Davis Eyes,Kim Carnes,1981,0odIT9B9BvOCnXfS0e4lB5
92,Lambada,Kaoma,1989,32gpJnMZkRafZdQvU7ZzR7
93,Ain't Nobody,Rufus | Chaka Khan,1983,53Za5vyGc1x7GxgJVRjRKc
94,Have You Ever Seen The Rain,Creedence Clearwater Revival,1970,2LawezPeJhN4AWuSB0GtAU
95,(I've Had) The Time Of My Life | The Time Of My Life,Bill Medley | Jennifer Warnes,1987,2Ll0rYVkAHV0QT7P2vknQc
96,Più Bella Cosa,Eros Ramazzotti,1996,0KligwQn4Iy344p2Q5m6k6
97,No Son Of Mine,Genesis,1991,2nHajACLqGsbctpe3Rafh3
98,Happy,Pharrell Williams,2013,60nZcImufyMA1MKQY3dcCH
99,Wonderwall,Oasis,1995,1qPbGZqppFwLwcBC1JQ6Vr
100,You Can't Hurry Love,The Supremes,1966,4H1iMlEWKZmpKTHCZzDhju
